"Season","TeamName","Size","SizeRank","Hgt5","Hgt5Rank","Hgt4","Hgt4Rank","Hgt3","Hgt3Rank","Hgt2","Hgt2Rank","Hgt1","Hgt1Rank","HgtEff","HgtEffRank","Exp","ExpRank","Bench","BenchRank","Pts5","Pts5Rank","Pts4","Pts4Rank","Pts3","Pts3Rank","Pts2","Pts2Rank","Pts1","Pts1Rank","OR5","OR5Rank","OR4","OR4Rank","OR3","OR3Rank","OR2","OR2Rank","OR1","OR1Rank","DR5","DR5Rank","DR4","DR4Rank","DR3","DR3Rank","DR2","DR2Rank","DR1","DR1Rank"
2019,"Abilene Christian",76.03,284,-0.79,265,-0.7,258,-0.71,264,-0.94,271,-0.83,262,-0.75,274,2.14,46,27.99,236,25.55,25,22.75,88,15.53,298,18.51,230,17.63,265,30.68,278,36.09,42,18.44,123,7.12,276,7.64,190,23.74,247,22.89,227,18.63,187,19.71,51,15.01,118
2019,"Air Force",77.16,125,-2.01,340,0.18,146,0.37,112,1.06,56,2.09,28,-0.91,294,1.53,221,33.14,103,18.8,194,28.94,7,20.38,142,14.73,332,17.09,279,41.98,91,34.64,51,13.32,234,5.98,312,3.98,324,22.03,294,23.4,211,21.27,87,19.48,56,13.77,184
2019,"Akron",76.33,248,0.28,128,-0.95,287,0.2,127,1.35,41,-3.35,348,-0.34,219,1.91,101,24.69,308,11.47,350,23.83,62,22.62,70,18.75,215,23.31,104,35.21,203,17.09,332,19.3,100,16.22,49,12.14,35,24.02,238,21.27,271,23.5,44,18.53,78,12.65,243
2019,"Alabama",77.82,42,-0.01,160,0.56,105,0.95,72,1.97,16,1.53,54,0.27,134,1.57,210,32.83,119,21.13,112,18.34,240,20.47,136,19.47,183,20.57,168,37.33,165,26.89,201,18.69,114,11.7,127,5.36,282,26.32,159,22.06,249,20.43,112,19.89,48,11.29,302
2019,"Alabama A&M",75.76,313,-1.47,323,-0.56,241,-0.05,174,-1.83,333,-1.39,283,-1.02,306,1.99,89,36.61,49,23.24,67,22.23,103,19.72,165,16.52,288,18.27,238,31.68,266,26.04,213,16.77,160,16.01,53,9.45,111,25.35,199,22.09,246,19.66,151,18.72,72,14.14,163
2019,"Alabama St.",75.34,340,-1.01,278,-1.54,330,-1.07,303,-0.96,289,-2.8,341,-1.28,322,1.8,133,36.73,47,15.9,286,22.1,106,21.4,113,18.37,232,22.22,123,30.6,280,34.25,58,15.36,189,11.48,138,8.29,165,19.46,340,28.82,51,19.27,164,19.44,58,13,224
2019,"Albany",76.69,194,-0.31,210,0.02,179,-0.59,251,-0.26,210,0.46,136,-0.14,192,1.08,325,25.32,293,14.38,320,16.63,287,18.95,184,24.67,36,25.32,55,40.52,110,30.67,117,15.32,190,5.34,328,8.06,173,24.27,230,21.96,254,16.1,281,17.36,113,20.26,15
2019,"Alcorn St.",76.78,175,0.35,118,-1.43,327,-0.8,269,1.06,56,0.59,123,-0.54,242,1.8,137,34.22,78,14.18,324,26.37,22,19,183,18.49,231,21.92,132,27.29,316,25.43,223,14.67,206,27.31,4,5.26,287,27.52,125,22.94,225,17.61,231,17.89,96,13.99,169
2019,"American",77.28,101,0.06,152,-0.78,263,1.02,66,0.65,100,1.36,76,-0.36,223,1.54,218,26.37,274,20.41,137,12.7,345,19.72,166,18.55,228,28.6,20,36.97,167,15.42,335,18.78,111,13.76,90,15.04,11,21.17,312,16.17,346,23.44,46,18.64,74,20.56,14
2019,"Appalachian St.",77.06,135,-0.01,160,1.44,28,0.1,158,-0.19,197,-0.14,193,0.71,79,1.87,114,33.98,86,16.09,278,20.36,163,27.86,10,17.88,249,17.74,261,36.21,184,31.41,104,11.66,267,13.21,98,7.41,197,27.35,126,29.14,44,14.96,310,15.71,179,12.76,236
2019,"Arizona",76.93,152,0.56,105,0.44,121,0.81,79,0.36,130,-1.62,293,0.5,102,1.63,193,34.31,75,22.41,83,18.15,244,21.78,99,19.67,178,17.97,248,39.83,121,29.64,147,21.54,69,5.35,327,3.6,334,26.12,167,22.44,237,19.58,154,18.32,82,13.53,198
2019,"Arizona St.",77.63,65,-0.35,220,1.18,43,1.86,21,1.06,56,0.31,154,0.42,116,1.34,283,26.7,265,17.89,221,18.26,242,18.53,200,23.95,47,21.35,145,30.77,276,30.58,121,16.92,156,11.97,124,9.72,99,21.15,313,31.91,14,20.15,125,15.02,210,11.74,283
2019,"Arkansas",77.56,72,1.14,55,0.09,169,0.2,127,0.79,83,1.46,56,0.61,87,0.86,340,30.89,170,25.08,34,16.61,288,24.83,31,19.28,193,14.14,331,45.55,39,27.99,178,8.54,331,9.29,211,8.55,152,32.94,28,23.95,191,18.81,183,11.54,329,12.69,238
2019,"Arkansas Pine Bluff",77.19,120,-0.17,188,-0.53,239,0.2,127,1.16,51,1.19,83,-0.35,220,2.12,50,33.66,93,15.83,288,15.93,306,23.79,47,30.88,2,13.51,339,34.8,211,22.78,270,18.6,117,11.24,143,12.51,30,24.86,213,23.69,199,18.34,200,19.27,64,13.76,186
2019,"Arkansas St.",76.36,242,-0.7,250,0.34,134,-0.51,240,-1.02,294,-0.41,226,-0.18,194,2.15,43,32.02,140,15.52,298,15.37,320,18.62,198,17.67,258,32.81,7,39.38,128,30.57,122,11.32,278,9.33,209,9.37,113,23.44,258,25.54,135,26.05,15,11.77,324,13.17,215
