,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Abilene Christian,32,26,6,.813,-1.56,-8.03,14,4,13,2,10,4,2381,2022,,67.2,109.8,.343,.347,.568,50.9,58.8,12.7,8.1,.538,15.5,29.5,.246
2,Air Force,32,14,18,.438,-3.88,0.63,8,10,9,6,3,9,2179,2294,,67.4,99.5,.283,.401,.540,50.1,54.1,7.0,5.8,.517,17.3,23.7,.192
3,Akron,33,17,16,.515,5.23,1.45,8,10,14,3,1,10,2271,2107,,68.5,100.1,.277,.477,.515,48.2,50.1,8.2,8.9,.485,15.0,25.3,.195
4,Alabama A&M,32,5,27,.156,-19.18,-8.34,4,14,4,7,0,18,1938,2285,,67.5,88.7,.251,.319,.479,47.0,52.2,10.7,4.6,.458,19.4,27.6,.157
5,Alabama-Birmingham,34,20,14,.588,0.86,-1.24,10,8,11,5,6,5,2392,2287,,66.4,105.2,.313,.348,.537,52.6,44.9,9.5,7.5,.512,14.8,30.4,.210
6,Alabama State,31,12,19,.387,-15.61,-7.85,9,9,8,3,3,13,2086,2235,,69.6,96.0,.388,.382,.500,48.9,44.0,9.3,9.3,.465,17.8,30.9,.253
7,Alabama,33,18,15,.545,10.27,9.78,8,10,10,5,4,8,2369,2353,,69.9,102.8,.385,.367,.534,52.2,48.5,6.6,11.6,.503,16.8,31.3,.257
8,Albany (NY),32,12,20,.375,-9.12,-6.45,7,9,6,8,6,10,2150,2216,,66.7,99.2,.322,.451,.533,49.8,55.2,9.0,7.1,.494,18.4,27.1,.240
9,Alcorn State,31,10,21,.323,-22.08,-8.97,6,12,10,3,0,17,1995,2194,,68.8,93.2,.316,.375,.504,49.9,55.1,10.7,9.8,.473,19.9,30.1,.213
10,American,30,15,15,.500,-3.96,-6.99,9,9,8,7,6,8,2161,2070,,67.7,104.7,.358,.355,.562,50.4,51.4,10.7,11.0,.533,16.7,26.1,.250
11,Appalachian State,32,11,21,.344,-3.55,0.28,6,12,9,5,2,12,2557,2539,,73.7,107.6,.364,.420,.562,48.6,46.1,7.2,6.8,.529,15.5,26.5,.261
12,Arizona State,32,22,10,.688,10.52,5.77,12,6,13,3,6,5,2490,2338,,72.1,106.2,.436,.357,.542,53.1,51.1,8.5,9.7,.508,15.9,32.4,.292
13,Arizona,32,17,15,.531,8.39,6.39,8,10,12,5,4,7,2269,2205,,68.6,102.6,.333,.376,.526,50.5,50.0,7.5,6.6,.490,14.7,28.4,.240
14,Little Rock,31,10,21,.323,-4.59,-1.79,5,13,7,9,3,12,2301,2353,,72.7,101.2,.417,.344,.569,49.8,54.2,7.4,8.6,.545,19.9,24.1,.273
